,sentence,entities,country_entities
46,Although a September invasion of The Netherlands failed  the Allies made steady advances  In the winter of       Hitler put everything into one last desperate gamble in the West  known as the Battle of the Bulge  which  despite an initial advance  was a failure  because the introduction of new Allied tanks and low troop numbers among the Germans prevented any real action being taken  Nevertheless  it was one of the bloodiest battles of the war and the second costliest battle in the history of the American Army     Final days edit In early February       the three Allied leaders  Franklin Roosevelt  Winston Churchill  and Joseph Stalin  met at newly liberated Yalta in the Crimea in the Soviet Union in the Yalta Conference      Here  they agreed upon a plan to divide post war Europe  Most of the east went to Stalin  who agreed to allow free elections in Eastern Europe  which he never did  The west went to Britain  France  and the United States Post war Germany would be split between the four  as would Berlin  This division of spheres of influence would set up international diplomacy for the Cold War that would dominate the second half of the century     At the beginning of       Hitler was on his last strings  ,"['September', 'The Netherlands', 'Allies', 'the winter', 'West', 'Allied', 'Germans', 'second', 'the American Army     Final', 'days', 'early February', 'three', 'Allied', 'Franklin Roosevelt', 'Winston Churchill', 'Joseph Stalin', 'Yalta', 'Crimea', 'the Soviet Union', 'the Yalta Conference      ', 'Europe', 'Stalin', 'Eastern Europe', 'Britain', 'France', 'the United States Post war Germany', 'four', 'Berlin', 'the Cold War', 'the second half of the century']",['France']
47,The Soviets launched a devastating attack from Poland into Germany and Eastern Europe  intending to take Berlin  The Germans collapsed in the West  allowing the Allies to fan out across Germany  However  the Supreme Allied Commander  American general Dwight D  Eisenhower  refused to strike for Berlin  and instead became obsessed with reports of possible guerrilla activity in southern Germany  which in reality existed mainly in the propaganda of Joseph Goebbels      By April     the Soviets had besieged Berlin  Hitler remained in the city in a bunker under the Chancellery garden  On April     he committed suicide by shooting himself  after a ritual wedding with his longtime mistress Eva Braun      The Germans held out another   days under Admiral Doenitz  their new leader  but the Germans surrendered unconditionally on May          ending the war in Europe  see V E Day      Rivalries that had begun during the war  combined with the sense of strength in the victorious powers  laid the foundations of the Iron Curtain and of the Cold War The war in the Pacific edit Main article  Asiatic Pacific TheaterBackground edit The first event that is usually linked to the later Pacific conflict was the Mukden Incident of    September       during which the Japanese military staged the bombing of the South Manchuria Railway and pinned the blame on Chinese dissidents      Japan then used this as pretext to invade northeastern China the next day and turn the region of Manchuria into the Japanese puppet state of Manchukuo      After the League of Nations commissioned the      Lytton Report  which exposed the Mukden Incident as a Japanese ruse  Japan was left internationally isolated  withdrawing from the League of Nations in March       ,"['Soviets', 'Poland', 'Germany', 'Eastern Europe', 'Berlin', 'Germans', 'West', 'Allies', 'Germany', 'American', 'Dwight D  ', 'Eisenhower', 'Berlin', 'Germany', 'Joseph Goebbels      ', 'April', 'Soviets', 'Berlin  Hitler', 'April', 'Eva Braun      ', 'Germans', 'another   days', 'Doenitz', 'Germans', 'May', 'Europe', 'the Cold War', 'Pacific', 'Asiatic Pacific TheaterBackground', 'first', 'Pacific', 'the Mukden Incident of    September       ', 'Japanese', 'Chinese', 'Japan', 'China', 'the next day', 'Manchuria', 'Japanese', 'Manchukuo      After', 'the League of Nations', 'the      Lytton Report', 'the Mukden Incident', 'Japanese', 'Japan', 'the League of Nations']","['Poland', 'Germany', 'Germany', 'Germany', 'Japan', 'China', 'Japan']"
48,In      Manchukuo became a constitutional monarchy and the former Chinese Emperor Pu Yi was placed on the throne  despite the real power being held by Japan     ,"['Chinese', 'Pu Yi', 'Japan']",['Japan']
49,Despite relations between Japan and China suffering because the occupation of Manchuria  the situation did not turn into all out war until   July       when a dispute between Chinese and Japanese soldiers turned into a battle during the Marco Polo Bridge Incident      This  in turn  led to a further escalation of the hostilities  leading to the Second Sino Japanese War  one of the deadliest conflicts in human history      Japan enjoyed some early major victories  capturing both Shanghai and the Chinese capital of Nanjing in      and forcing the Chinese central government  s relocation to Chongqing  Following Chinese victories in Changsha and Guangxi in       the war reached somewhat of a stalemate  with Japan controlling the large cities  but being unable to rule the vast countryside      On    September       ,"['Japan', 'China', 'Manchuria', 'Chinese', 'Japanese', 'the Marco Polo Bridge Incident      This  in turn', 'the Second Sino Japanese War  one', 'Japan', 'Shanghai', 'Chinese', 'Nanjing', 'Chinese', 'Chongqing', 'Chinese', 'Changsha', 'Guangxi', 'Japan']","['Japan', 'China', 'Japan', 'Japan']"
50,Japan became cosignatories of the Tripartite Pact  joining a military alliance with Germany and Italy     Japanese Expansion edit United StatesS West Virginia during the attack on,"['Japan', 'the Tripartite Pact', 'Germany', 'Italy', 'Japanese', 'United', 'West Virginia']","['Japan', 'Germany', 'Italy']"
51,Pearl HarborOn December          Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the United States Pacific Fleet from interfering with its planned expansion in the area      The next day  following Roosevelt s Infamy Speech  the United States declared war on Japan  marking the official entry of both nations in World War             At the same time  Japan also launched attacks on Thailand  the British colonies of Malaya  Singapore  Hong Kong and American military bases in Guam  Wake Island and the Philippines      The next six months were dominated by Japanese victories against the Allied forces  already war weary and stretched thin after two years of war in Europe and North Africa  Japan managed to capture British Burma  New Guinea  the Dutch East Indies  the Solomon Islands  Bali and Timor       In March       days before the surrender of the Philippines  general Douglas MacArthur  who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war  was forced to flee and narrowly escape to Australia       On    February       Japan also launched a devastating aerial attack on the Australian city of Darwin  in what was the first attack by a foreign power on Australian soil      The turning of the tide came in early May  during the Battle of the Coral Sea  which proved the first strategic victory of the Allies against Japanese expansion       ,"['Pearl HarborOn', 'December', 'Japan', 'American', 'Pearl Harbor', 'the United States Pacific Fleet', 'The next day', 'Roosevelt', 'the United States', 'Japan', 'World War             ', 'Japan', 'Thailand', 'British', 'Malaya', 'Singapore', 'Hong Kong', 'American', 'Guam  Wake Island', 'The next six months', 'Japanese', 'Allied', 'two years', 'Europe', 'North Africa', 'Japan', 'British', 'Burma', 'New Guinea', 'the Dutch East Indies', 'the Solomon Islands', 'Bali', 'March       ', 'days', 'Philippines', 'Douglas MacArthur', 'United States Army Forces', 'the Far East', 'Australia', 'Japan', 'Australian', 'Darwin', 'first', 'Australian', 'early May', 'the Battle of the Coral Sea', 'first', 'Allies', 'Japanese']","['Japan', 'Japan', 'Japan', 'Thailand', 'Singapore', 'Japan', 'Burma', 'Philippines', 'Australia', 'Japan']"
52,This was followed one month later by the Battle of Midway  in which the United States Navy defeated an attacking Japanese fleet  inflicting devastating damage on the attacking force  The Battle of Midway is widely considered the most important naval battle of the Pacific Campaign and has even been described as  the most stunning and decisive blow in the history of naval warfare       ,"['one month later', 'the Battle of Midway', 'the United States Navy', 'Japanese', 'The Battle of Midway', 'the Pacific Campaign']",[]
53,The reasons usually given for the resounding victory are Japanese overconfidence in their own forces  poor planning and the intercepting of Japanese battle plans by the United States       The losses suffered during this Battle of Midway  paired with the campaign of attrition that was taking place in Solomon Islands  left Japan unable to replenish its forces and turned the tides of war against it  By August       ,"['Japanese', 'Japanese', 'the United States       The', 'this Battle of Midway', 'Solomon Islands', 'Japan', 'August']",['Japan']
54,the Allied forces were on the offensive  earning victories in the New Guinea campaign at Guadalcanal  Milne Bay and Buna Gona      Allied offensive edit A map of the Japanese advance from      to     Over the next two years the Allies slowly captured one island base after another  trying to get closer to Japan itself  where it planned to launch massive strategic air attacks and  only if absolutely necessary  execute a ground invasion  ,"['Allied', 'New Guinea', 'Guadalcanal', 'Buna Gona      ', 'Japanese', 'the next two years', 'Allies', 'one', 'Japan']",['Japan']
55,By July       the United States recaptured Guam and captured Tinian  which finally put them in attacking range of mainland Japan using the new Boeing B    bombers       Despite the advances of the Allies  massive fighting was still taking place  both in South East Asia with the Japanese offensive in India and in the Pacific  with the Battle of the Philippine Sea  where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers       ,"['July', 'the United States', 'Guam', 'Tinian', 'Japan', 'Boeing', 'Allies', 'South East Asia', 'Japanese', 'India', 'Pacific', 'the Philippine Sea', 'Japan']","['Japan', 'India', 'Japan']"
56,In later October  a combined attack of American and Australian forces took on the Imperial Japanese Navy during the Battle of Leyte Gulf in what was to be the largest naval battle of World War II and possibly the largest naval battle of all time       ,"['later October', 'American', 'Australian', 'the Imperial Japanese Navy', 'the Battle of Leyte Gulf', 'World War II']",[]
57,The Allied victory achieved its stated goal of further severing oil supplied to the Japanese army  which was already struggling to fuel the remainder of its naval power       The battle of Leyte Gulf is also notable as the first battle in which Japanese aircraft carried out organized kamikaze attacks      By early       the Americans set their eyes on the Japanese island of Iwo Jima  which was of great strategic importance  being situated halfway between Tokyo and the Mariana Islands  Capturing the island meant not only a better launch station for aerial attacks against mainland Japan  but also the prevention of its use as an early warning station against air raids  ,"['Allied', 'Japanese', 'Leyte Gulf', 'first', 'Japanese', 'Americans', 'Japanese', 'Iwo Jima', 'Tokyo', 'the Mariana Islands', 'Capturing', 'Japan']",['Japan']
58,The Japanese were expecting an attack and have been heavily fortifying the entire island for over a year       Despite the American troops outnumbering the Japanese to a rate of more than   to    the United StatesA suffered heavy casualties in the    days of fighting  with over       Marines killed and another        wounded       leading some historians to question the strategic worth of the action       With Japan struggling to defend the homeland islands  counteroffensives in other parts of the Japanese Empire became more feasible  with important battles taking place in Burma  Borneo and China Continuing to come nearer the main Japanese islands  on   April      the United States Marines mounted the largest amphibious assault of the Pacific Theater on the island of Okinawa       After a long campaign of island hopping  the Allies were planning to use Kadena Air Base on the large island of Okinawa as a base for Operation Downfall  the planned invasion of the Japanese home islands which were only     miles away       The battle was one of the bloodiest in the Pacific  with approximately         casualties on both sides  at least        Allied and                Japanese  Around half of the island s population of         were killed  committed suicide or went missing      Enola Gay s ground crew with mission commander Paul Tibbets in the center Final days edit The assaults on both Iwo Jima and Okinawa proved incredibly costly in terms of American lives and president Truman was horrified at the prospect of Operation Downfall  a planned boots on the ground invasion of mainland Japan that was estimated to lead to over a million casualties among American soldiers       Despite a devastating campaign of fire bombing in Tokyo and dozens of other cities  the Japanese showed no sign of planning to surrender  Following the Potsdam Declaration of July     where the Allies threatened  prompt and utter destruction  should Japan not surrender       the decision was made to resort to the first use of atomic bombs  On   August  the    d Bombardment Squadron B    Enola Gay  took off from Tinian and dropped the bomb on the city of Hiroshima  Three days later  a second bomb was dropped on Nagasaki  The two bombings killed                 people  most of them civilians       On   August  the Soviet Union also invaded Manchukuo in what was to be the last campaign of the war      On    August the  sacred decision  was made by Japanese Cabinet to accept the Potsdam terms and on    August Emperor Hirohito broadcast to the nation and to the world at large the rescript of surrender  ending the Second World War       ,"['Japanese', 'American', 'Japanese', 'United', 'the    days', 'Japan', 'Japanese', 'Burma', 'Borneo', 'China Continuing', 'Japanese', 'April      ', 'the United States', 'Marines', 'the Pacific Theater', 'Okinawa       ', 'Allies', 'Kadena Air Base', 'Okinawa', 'Operation Downfall', 'Japanese', 'only     miles', 'Pacific', 'Japanese', 'Paul Tibbets', 'Final days', 'Iwo Jima', 'Okinawa', 'American', 'Truman', 'Operation Downfall', 'Japan', 'million', 'American', 'Tokyo', 'dozens', 'Japanese', 'the Potsdam Declaration of July     ', 'Allies', 'Japan', 'first', 'August', 'the    d Bombardment Squadron B    Enola Gay', 'Tinian', 'Hiroshima', 'Three days later', 'second', 'Nagasaki', 'two', 'August', 'the Soviet Union', 'Manchukuo', 'August', 'Japanese', 'Potsdam', 'Hirohito', 'the Second World War       ']","['Japan', 'Burma', 'Japan', 'Japan']"
59,The formal Japanese Instrument of Surrender was signed on   September       on the battleship United StatesS Missouri  in Tokyo Bay  The surrender was accepted by General Douglas MacArthur as Supreme Commander of the Allied Powers      The Holocaust edit Main article  ,"['Japanese Instrument of Surrender', 'United', 'Missouri', 'Tokyo Bay', 'Douglas MacArthur', 'Supreme', 'the Allied Powers      The', 'Holocaust']",[]
60,The HolocaustThe Holocaust  which roughly means  great fire   was the deliberate  systematic murder of millions of Jews and other minorities during World War II by Hitler s Nazi regime in Europe  Several differing views exist regarding whether it was intended to occur from the war s beginning  or if the plans for it came about later            Regardless  persecution of Jews extended well before the war even started  such as in the Kristallnacht  literally  Crystal Night   Night of Broken Glass        The Nazis used propaganda to great effect to stir up antisemitic feelings within ordinary Germans  Many people  including politicians and historians  consider the Holocaust to be the worst event in history  and have described Hitler  his followers  and his regime as evil Slave laborers at the Buchenwald concentration camp After the conquest of Poland  the Third Reich  which had previously deported Jews and other  undesirables   suddenly had within its borders the largest concentration of Jews in the world  ,"['The HolocaustThe Holocaust', 'millions', 'Jews', 'World War II', 'Hitler s Nazi', 'Europe', 'Jews', 'Kristallnacht', 'Crystal Night', 'Nazis', 'Germans', 'Holocaust', 'Hitler', 'Buchenwald', 'Poland', 'the Third Reich', 'Jews', 'Jews']",['Poland']
61,The solution was to round up Jews and place them in Nazi concentration camps or in ghettos  cordoned off sections of cities where Jews were forced to live in deplorable conditions  often with tens of thousands starving to death  and the bodies decaying in the streets            As appalling as this sounds  they were the lucky ones  After the invasion of the Soviet Union  armed killing squads of SS men known as Einsatzgruppen systematically rounded up Jews and murdered an estimated one million Jews within the country       As barbaric and inhuman as this seems  it was too slow and inefficient by Nazi standards In       the top leadership met in Wannsee  a suburb of Berlin  and began to plan a more efficient way to slaughter the Jews       The Nazis created a system of extermination camps throughout Poland  and began rounding up Jews from the Soviet Union  and from the Ghettos            Not only were Jews shot or gassed to death en masse  but they were forced to provide slave labor and they were used in horrific medical experiments  see Human experimentation in Nazi Germany        Out of the widespread condemnation of the Nazis  medical experiments  the Nuremberg Code of medical ethics was devised      The Nazis took a sadistic pleasure in the death camps  the entrance to the most notorious camp  Auschwitz  stated  Arbeit Macht Frei   Work Sets You Free        In the end  six million Jews and up to   million homosexuals  Jehovah s Witnesses  Roma and political prisoners were killed by various means  mainly in the death camps                 An additional several million Soviet and other Allied prisoners of war died in camps and holding areas           ,"['Jews', 'Nazi', 'Jews', 'tens of thousands', 'the Soviet Union', 'SS', 'Einsatzgruppen', 'Jews', 'an estimated one million', 'Jews', 'Nazi', 'Wannsee', 'Berlin', 'the Jews       The Nazis', 'Poland', 'Jews', 'the Soviet Union', 'the Ghettos            Not', 'Jews', 'Nazi Germany        Out', 'Nazis', 'the Nuremberg Code of medical', 'Nazis', 'Auschwitz', 'Arbeit Macht', 'the end  six million', 'Jews', 'Jehovah s Witnesses  ', 'several million', 'Soviet', 'Allied']",['Poland']
62,There is some controversy over whether ordinary Germans knew about the Holocaust       It appears that many Germans knew about the concentration camps  such things were prominently displayed in magazines and newspapers       ,"['Germans', 'the Holocaust       It', 'Germans']",[]
63,In many places  Jews had to walk past towns and villages on their way to work as slaves in German industry  ,"['Jews', 'German']",[]
64,In any case  Allied soldiers reported that the smell of the camps carried for miles       A very small number of people deny the Holocaust occurred entirely  though these claims have been routinely discredited by mainstream historians      The Nuclear Age begins edit Main article  History of nuclear weaponsDuring the     s  innovations in physics made it apparent that it could be possible to develop nuclear weapons of incredible power using nuclear reactions       When World War II broke out  scientists and advisors among the Allies feared that Nazi Germany may have been trying to develop its own atomic weapons  and the United States and the United Kingdom pooled their efforts in what became known as the Manhattan Project to beat them to it  At the secret Los Alamos laboratory in New Mexico  scientist Robert Oppenheimer led a team of the world s top scientists to develop the first nuclear weapons  the first of which was tested at the Trinity site in July            ,"['Holocaust', 'The Nuclear Age', 'Main', 'World War II', 'Allies', 'Nazi Germany', 'the United States', 'the United Kingdom', 'the Manhattan Project', 'Los Alamos', 'New Mexico', 'Robert Oppenheimer', 'first', 'first', 'Trinity', 'July']",[]
65,However  Germany had surrendered in May       and it had been discovered that the German atomic bomb program had not been very close to success      The first nuclear explosion  named  Trinity   was detonated on July          ,"['Germany', 'May       ', 'German', 'first', 'Trinity', 'July']",['Germany']
66,The Allied team produced two nuclear weapons for use in the war  one powered by uranium     and the other by plutonium as fissionable material  named  Little Boy  and  Fat Man        These were dropped on the Japanese cities of Hiroshima and Nagasaki on August   and         each  This  in combination with the Soviet invasion of Japanese controlled territory  convinced the Japanese government to surrender unconditionally  These two weapons remain the only two nuclear weapons ever used against other countries in war      Nuclear weapons brought an entirely new and terrifying possibility to warfare of nuclear annihilation  because it was feared that they would bring about the human extinction overnight  ,"['Allied', 'two', 'Little Boy', 'Fat Man        These', 'Japanese', 'Hiroshima', 'Nagasaki', 'August', 'Soviet', 'Japanese', 'Japanese', 'two', 'only two']",[]
67,While at first the United States held a monopoly on the production of nuclear weapons  the Soviet Union  with some assistance from espionage  managed to detonate its first weapon  dubbed  Joe    by the West  in August                 ,"['first', 'the United States', 'the Soviet Union', 'first', 'Joe', 'West', 'August']",[]
68,The post war relations between the two  which had already been deteriorating  began to rapidly disintegrate  Soon the two were locked in a massive stockpiling of nuclear weapons  ,"['two', 'two']",[]
69,The United States began a crash program to develop the first hydrogen bomb in       and detonated its first thermonuclear weapon in       This new weapon was alone over     times as powerful as the weapons used against Japan  ,"['The United States', 'first', 'first', 'Japan']",['Japan']
70,The Soviet Union detonated a primitive thermonuclear weapon in      and a full fledged one in           Nuclear missiles and computerized launch systems increased the range and scope of possible nuclear war The conflict continued to escalate  with the major superpowers developing long range missiles  such as the ICBM  and a nuclear strategy which guaranteed that any use of the nuclear weapons would be suicide for the attacking nation  Mutually Assured Destruction   The creation of early warning systems put the control of these weapons into the hands of newly created computers  and they served as a tense backdrop throughout the Cold War      ,"['The Soviet Union', 'one', 'Mutually Assured Destruction', 'the Cold War      ']",[]
71,Since the     s there were concerns about the rising proliferation of nuclear weapons to new countries  which was seen as being destabilizing to international relations  spurring regional arms races  and generally increasing the likelihood of some form of nuclear war  Eventually  nine nations would overtly develop nuclear weapons  and still maintain stockpiles today  the United States  the Soviet Union  and later Russia would inherit these   the United Kingdom  France  China  India  Pakistan  Israel and North Korea       South Africa developed six crude weapons in the     s  which it later dismantled        and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it       The creation of the Nuclear Non proliferation Treaty in      was an attempt to curtail such proliferation       but a number of countries developed nuclear weapons since it was signed  and many did not sign it   and several other countries  including Libya and Iran were suspected of having clandestine nuclear weapons programs           The post war world edit Main article  Post World War II economic expansionFollowing World War II  the majority of the industrialized world lay in ruins as a result of aerial bombings  naval bombardment  and protracted land campaigns  ,"['nine', 'today', 'the United States', 'the Soviet Union', 'Russia', 'the United Kingdom  ', 'France', 'China', 'India', 'Pakistan', 'Israel', 'North Korea', 'South Africa', 'six', 'Israel', 'the Nuclear Non proliferation Treaty', 'Libya', 'Iran', 'Main', 'Post World War II', 'World War II']","['Russia', 'France', 'China', 'India', 'Pakistan', 'Israel', 'South Africa', 'Israel', 'Libya', 'Iran']"
72,The United States was a notable exception to this  barring Pearl Harbor and some minor incidents  the United States had suffered no attacks upon its territory       The United States and the Soviet Union  which  despite the devastation of its most populated areas  rebuilt quickly  found themselves the world s two dominant superpowers      Much of Western Europe was rebuilt after the war with assistance from the Marshall Plan  Germany  chief instigator of the war  was placed under joint military occupation by the United States  Great Britain  France  and the Soviet Union  Berlin  although in Soviet controlled territory  was also divided among the four powers       Occupation of Berlin would continue until       Japan was also placed under United States occupation  that would last seven years  until            Oddly  these two Axis powers  despite military occupation  soon rose to become the second  Japan  and third  West Germany  most powerful economies in the world      Following the end of the war  the Allies famously prosecuted numerous German officials for war crimes and other offenses in the Nuremberg Trials  ,"['The United States', 'Pearl Harbor', 'the United States', 'The United States', 'the Soviet Union', 'two', 'Western Europe', 'the Marshall Plan  ', 'Germany', 'the United States  ', 'Great Britain', 'France', 'the Soviet Union', 'Berlin', 'Soviet', 'four', 'Berlin', 'Japan', 'United States', 'seven years', 'two', 'second', 'Japan', 'third', 'West Germany', 'Allies', 'German', 'the Nuremberg Trials']","['Germany', 'France', 'Japan', 'Japan']"
73,Although Adolf Hitler had committed suicide  many of his cronies  including Hermann G ring  were convicted  Less well known trials of other Axis officials also occurred  including the Tokyo War Crime Trial      ,"['Adolf Hitler', 'Hermann G', 'the Tokyo War Crime Trial      ']",[]
74,The failure of the League of Nations to prevent World War II essentially discredited the organization  and it was dissolved       A new attempt at world peace was begun with the founding of the United Nations on October           in San Francisco       Today  nearly all countries are members  but despite its many successes  the organization s success at achieving its goal of world peace is disputed  The organization was never given enough power to overcome the conflicting interests and priorities of its member nations The end of empires  decolonization edit Michael Somare  the first leader of an independent Papua New Guinea Main articles  Decolonization and New ImperialismAlmost all of the major nations that were involved in World War II began shedding their overseas colonies soon after the conflict  ,"['the League of Nations', 'World War II', 'the United Nations', 'October', 'San Francisco       ', 'Today', 'Michael Somare', 'first', 'Papua New Guinea Main', 'Decolonization and New ImperialismAlmost', 'World War II']",[]
75,The tactics employed by the revolutionaries ranged from non violent forms of protest to armed rebellions  depending on the nation involved            Immediately after the war  European powers began a decades long process of withdrawing from their possessions in Africa and Asia In India  Mahatma Gandhi became a global icon for his non violent struggle to achieve Indian independence whereas Mohamed Ali Jinnah advocated for the independence of a separate state for Muslims  ,"['European', 'decades', 'Africa', 'Asia', 'India', 'Mahatma Gandhi', 'Indian', 'Mohamed Ali Jinnah', 'Muslims']",['India']
76,This was achieved in      with the end of British rule in India and the Partition of the territory into modern day India and Pakistan  which would later also further divide  leading to the creation of the People s Republic of Bangladesh in                 Elsewhere in Asia  The United States granted independence to the Philippines  its major Pacific possession in            In French Indochina  armed insurrections forced the French out in the early     s  leading to the formation of Laos  Cambodia and Vietnam      In Africa  nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule       Mere decades before  the British Empire controlled almost half of the continent  but by       the only British possession in Africa was Seychelles  which would also become independent in        Between      and       almost    African countries achieved their independence from France       Through the efforts of Am lcar Cabral and others  the Portuguese colonies of Guinea Bissau  Cape Verde  Angola  Mozambique and S o Tom  and Pr ncipe followed suit and achieved independence during the mid     s  in what was to be the last important wave of African decolonization      In       there were    member states in the United Nations  but as the newly independent nations joined the organization  by      membership increased to          The emergence of newly independent countries in Africa and Asia that used the borders of the imperial partitions later led to further conflict       ,"['British', 'India', 'the Partition of the territory', 'India', 'Pakistan', 'the People s Republic of Bangladesh', 'Asia', 'The United States', 'Philippines', 'Pacific', 'French', 'Indochina', 'French', 'Laos', 'Cambodia', 'Vietnam      ', 'Africa', 'Jomo Kenyatta', 'Kenya', 'Kwame Nkrumah', 'Ghana', 'decades', 'British Empire', 'almost half', 'British', 'Africa', 'Seychelles', 'Between      and       almost    ', 'African', 'France', 'Cabral', 'Portuguese', 'Guinea Bissau  Cape Verde', 'Angola  Mozambique', 'Tom', 'African', 'the United Nations', 'Africa', 'Asia']","['India', 'India', 'Pakistan', 'Philippines', 'Laos', 'Cambodia', 'Kenya', 'Ghana', 'Seychelles', 'France']"
77,In many cases this meant that historically antagonistic ethnic or religious groups now needed to share the same country or that several nations held territorial claims over regions which were more or less arbitrarily divided by European powers            Some conflicts which aroused from these tensions  especially the Nigerian Civil War  the Second Congo War  the Second Sudanese Civil War and the Bangladesh Liberation War have been among the bloodiest wars of the   th century      The Cold War             edit Post war territorial changes in Europe and the formation of the Eastern BlocMain articles  Cold War and Mutual assured destructionDuring the Yalta Conference  where the Western  capitalist powers  and the communist Soviet Union agreed on separate spheres of influence in Europe  they set up the stage for a geopolitical rivalry that would dominate international relations for the next five decades       In March       Winston Churchill gave a now famous speech while visiting Westminster College in the United States which is usually credited as the first use of the term iron curtain to refer to the separation of Soviet and Western areas of influence in Europe      From Stettin in the Baltic to Trieste in the Adriatic an iron curtain has descended across the Continent  Behind that line lie all the capitals of the ancient states of Central and Eastern Europe  Warsaw  Berlin  Prague  Vienna  Budapest  Belgrade  Bucharest and Sofia  all these famous cities and the populations around them lie in what I must call the Soviet sphere  and all are subject  in one form or another  not only to Soviet influence but to a very high,"['European', 'the Nigerian Civil War', 'Second', 'Second', 'Sudanese Civil War', 'the Bangladesh Liberation War', 'The Cold War             ', 'Europe', 'Eastern BlocMain', 'Cold War', 'the Yalta Conference', 'Western', 'Soviet Union', 'Europe', 'the next five decades', 'March', 'Winston Churchill', 'Westminster College', 'the United States', 'first', 'Soviet', 'Western', 'Europe      From Stettin', 'Baltic', 'Adriatic', 'Central and Eastern Europe', 'Warsaw', 'Berlin', 'Prague', 'Vienna', 'Budapest', 'Belgrade', 'Bucharest', 'Sofia', 'Soviet', 'one', 'Soviet']",[]
78,and in some cases increasing measure of control from Moscow Indeed  the Soviet Union had already annexed several countries as Soviet Socialist Republics during the war  Eastern Poland  incorporated into the Byelorussian SSR and the Ukrainian SSR        Latvia  which became the Latvian SSR   Estonia  which became the Estonian SSR   Lithuania   which became the Lithuanian SSR        part of eastern Finland  which became the Karelo Finnish SSR       and eastern Romania  part of which became the Moldavian SSR       were now wholly part of Soviet Union  ,"['Moscow', 'the Soviet Union', 'Soviet', 'Eastern Poland', 'Ukrainian', 'Latvia', 'Estonia', 'Estonian', 'Lithuania', 'Finland', 'Romania', 'the Moldavian SSR       ', 'Soviet Union']","['Latvia', 'Estonia', 'Lithuania', 'Finland', 'Romania']"
79,Furthermore  between      and       Yugoslavia  Albania  Bulgaria  Poland  Romania  Czechoslovakia  Hungary and East Germany saw communist regimes coming to power and their transformation into People s Republics       While they remained independent countries and their relation with the Soviet authorities would fluctuate over the next half century  they were widely seen as Soviet satellite states  Outside of Europe  countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia  China  North Korea  Cuba and Vietnam      ,"['Yugoslavia', 'Albania', 'Bulgaria', 'Poland', 'Romania', 'Czechoslovakia', 'Hungary', 'East Germany', 'People s Republics       While', 'Soviet', 'the next half century', 'Soviet', 'Europe', 'Mongolia', 'China', 'North Korea', 'Cuba', 'Vietnam      ']","['Yugoslavia', 'Albania', 'Bulgaria', 'Poland', 'Romania', 'Czechoslovakia', 'Hungary', 'Mongolia', 'China', 'Cuba']"
80,The spread of the communist ideology in general and the Soviet influence in particular made Western leaders nervous and it even lead to Churchill considering a preemptive attack on the United StatesSR even before World War II was formally ended      The two rival blocks also coalesced into formal mutual defense organizations  with the formation of the North Atlantic Treaty Organization  NATO  in           and the Warsaw Pact in            each determine to expand its own influence among unaligned countries and limit the influence of their rivals War by proxy edit Main articles  Korean War  Vietnam War  and Cuban Missile CrisisTwo wars and a near war in the     s became the focus for capitalist versus communist struggle  ,"['Soviet', 'Western', 'Churchill', 'United', 'World War II', 'two', 'the North Atlantic Treaty Organization  NATO', 'the Warsaw Pact', 'War', 'Korean War  Vietnam War', 'Cuban']",[]
81,The first war was the Korean War  fought between People s Republic of China backed North Korea and mainly United States backed South Korea  The Korean Peninsula was a Japanese colony between      and       when Soviet and American troops invaded and divided it along the   th parallel       A communist government controlled the territory north of the border and a capitalist one controlled the South  with both authorities considering the other one illegitimate and claiming sovereignty over the entire peninsula       North Korea s invasion of South Korea on June          led to United Nations intervention       General Douglas MacArthur led troops from the United States  Canada  Australia  Great Britain  and other countries in repulsing the Northern invasion  ,"['first', 'the Korean War', 'between People s Republic of China', 'North Korea', 'United States', 'South Korea', 'The Korean Peninsula', 'Japanese', 'Soviet', 'American', 'South', 'one', 'North Korea', 'South Korea', 'June', 'United Nations', 'Douglas MacArthur', 'the United States', 'Canada', 'Australia', 'Great Britain']","['Canada', 'Australia']"
82,However  the war reached a stalemate after Chinese intervention pushed U N  forces back  and an Armistice ended hostilities in July       leaving the two Koreas divided and tense for the rest of the century      ,"['Chinese', 'U N', 'Armistice', 'July', 'two', 'Koreas']",[]
83,The second war  the Vietnam War  was perhaps the third most visible war of the   th century  after World War I and World War II  After the French withdrawal from its former colony  on    July       Vietnam became partitioned into two halves  much like Korea  along the   th parallel  Fighting between North and South eventually escalated into a regional war  ,"['second', 'the Vietnam War', 'third', 'World War I and', 'World War II', 'French', 'Vietnam', 'two', 'Korea', 'North', 'South']",['Vietnam']
