,sentence,entities
187,Soviets    launched    a    devastating    attack    from    Poland    into    Germany    and    Eastern    Europe         intending    to    take    Berlin    .    ,"['Soviets', 'Poland', 'Germany', 'Europe         ', 'Berlin']"
188,Germans    collapsed    in    West         allowing    Allies    to    fan    out    across    Germany    .    ,"['Germans', 'Germany']"
189,However         Supreme    Allied    Commander         the United Statesn    general    Dwight    D.    Eisenhower         refused    to    strike    for    Berlin         and    instead    became    obsessed    with    reports    of    possible    guerrilla    activity    in    southern    Germany         which    in    reality    existed    mainly    in    propaganda    of    Joseph    Goebbels    .                 ,[]
190,By    April            Soviets    had    besieged    Berlin    .    ,"['April            ', 'Soviets', 'Berlin']"
191,Hitler    remained    in    city    in    a    bunker    under    Chancellery    garden    .    ,['Hitler']
192,On    April            he    committed    suicide    by    shooting    himself         after    a    ritual    wedding    with    his    longtime    mistress    Eva    Braun    .                 ,[]
193,Germans    held    out    another       days    under    Admiral    Doenitz         their    new    leader         but    Germans    surrendered    unconditionally    on    May                    ending    war    in    Europe         see    V-E    Day         .                 ,"['Germans', 'Germans']"
194,Rivalries    that    had    begun    during    war         combined    with    sense    of    strength    in    victorious    powers         laid    foundations    of    Iron    Curtain    and    of    Cold    War.,[]
195,The    war    in    Pacific         edit         Main    article    :    Asiatic-Pacific    TheaterBackground         edit         first    event    that    is    usually    linked    to    later    Pacific    conflict    was    Mukden    Incident    of       September            during    which    Japanese    military    staged    bombing    of    South    Manchuria    Railway    and    pinned    blame    on    Chinese    dissidents    .                 ,"['first', 'September', 'Japanese', 'Chinese']"
196,Japan    then    used    this    as    pretext    to    invade    northeastern    China    next    day    and    turn    region    of    Manchuria    into    Japanese    puppet    state    of    Manchukuo    .                 ,"['Japan', 'China', 'Japanese']"
197,After    League    of    Nations    commissioned       Lytton    Report         which    exposed    Mukden    Incident    as    a    Japanese    ruse         Japan    was    left    internationally    isolated         withdrawing    from    League    of    Nations    in    March       .    ,"['Japanese', 'Japan']"
198,In       Manchukuo    became    a    constitutional    monarchy    and    former    Chinese    Emperor    Pu    Yi    was    placed    on    throne         despite    real    power    being    held    by    Japan    .                 ,"['Chinese', 'Japan']"
199,Despite    relations    between    Japan    and    China    suffering    because    occupation    of    Manchuria         situation    did    not    turn    into    all-out    war    until       July            when    a    dispute    between    Chinese    and    Japanese    soldiers    turned    into    a    battle    during    Marco    Polo    Bridge    Incident    .                 ,"['Japan', 'China', 'Manchuria         ', 'Chinese', 'Japanese', 'Marco    Polo    Bridge    Incident    ']"
200,This         in    turn         led    to    a    further    escalation    of    hostilities         leading    to    Second    Sino-Japanese    War         one    of    deadliest    conflicts    in    human    history    .                 ,"['Second', 'Sino-Japanese']"
201,"Japan    enjoyed    some    early    major    victories         capturing    both    Shanghai    and    Chinese    capital    of    Nanjing    in       and    forcing    Chinese    central    government   "" s""   relocation    to    Chongqing    .    ","['Japan', 'Shanghai', 'Chinese', 'Nanjing', 'Chinese', 'Chongqing']"
202,Following    Chinese    victories    in    Changsha    and    Guangxi    in            war    reached    somewhat    of    a    stalemate         with    Japan    controlling    large    cities         but    being    unable    to    rule    vast    countryside    .                 ,"['Chinese', 'Changsha', 'Japan']"
203,On       September            Japan    became    cosignatories    of    Tripartite    Pact         joining    a    military    alliance    with    Germany    and    Italy    .                 ,"['September', 'Japan', 'Germany', 'Italy']"
204,Japanese    Expansion         edit         the United StatesS    West    Virginia    during    attack    on    Pearl    HarborOn    December                    Japan    launched    a    surprise    attack    on    the United Statesn    base    at    Pearl    Harbor    as    a    mean    of    preventing    the United States    Pacific    Fleet    from    interfering    with    its    planned    expansion    in    area    .                 ,"['Japanese    Expansion         ', 'Virginia', 'Japan', 'the United States']"
205,"next    day         following    Roosevelt   "" s""   Infamy    Speech         United    States    declared    war    on    Japan         marking    official    entry    of    both    nations    in    World    War       .                              ",['next    day']
206,At    same    time         Japan    also    launched    attacks    on    Thailand         British    colonies    of    Malaya         Singapore         Hong    Kong    and    the United Statesn    military    bases    in    Guam         Wake    Island    and    Philippines    .                 ,"['Japan', 'British', 'Philippines']"
207,next    six    months    were    dominated    by    Japanese    victories    against    Allied    forces         already    war-weary    and    stretched    thin    after    two    years    of    war    in    Europe    and    North    Africa    .    ,"['next    six    months', 'Japanese', 'Allied', 'Europe', 'Africa']"
208,Japan    managed    to    capture    British    Burma         New    Guinea         Dutch    East    Indies         Solomon    Islands         Bali    and    Timor    .                 ,"['Japan', 'British']"
209,In    March            days    before    surrender    of    Philippines         general    Douglas    MacArthur         who    came    out    of    retirement    to    become    commander    of    United    States    Army    Forces    in    Far    East    at    onset    of    war         was    forced    to    flee    and    narrowly    escape    to    Australia    .                 ,"['Douglas    MacArthur         ', 'Australia']"
210,On       February            Japan    also    launched    a    devastating    aerial    attack    on    Australian    city    of    Darwin         in    what    was    first    attack    by    a    foreign    power    on    Australian    soil    .                 ,"['February            ', 'Japan', 'Australian', 'first', 'Australian']"
211,turning    of    tide    came    in    early    May         during    Battle    of    Coral    Sea         which    proved    first    strategic    victory    of    Allies    against    Japanese    expansion    .                 ,"['Battle    of    Coral    Sea         ', 'Japanese']"
212,This    was    followed    one    month    later    by    Battle    of    Midway         in    which    the United States    Navy    defeated    an    attacking    Japanese    fleet         inflicting    devastating    damage    on    attacking    force    .    ,"['one    month    later', 'the United States', 'Navy', 'Japanese']"
213,"Battle    of    Midway    is    widely    considered    most    important    naval    battle    of    Pacific    Campaign    and    has    even    been    described    as    ``    most    stunning    and    decisive    blow    in    history    of    naval    warfare   ""  ""                reasons    usually    given    for    resounding    victory    are    Japanese    overconfidence    in    their    own    forces         poor    planning    and    intercepting    of    Japanese    battle    plans    by    United    States    .                 ","['Japanese', 'Japanese']"
214,losses    suffered    during    this    Battle    of    Midway         paired    with    campaign    of    attrition    that    was    taking    place    in    Solomon    Islands         left    Japan    unable    to    replenish    its    forces    and    turned    tides    of    war    against    it    .    ,"['Battle    of    Midway         ', 'Japan']"
215,By    August            Allied    forces    were    on    offensive         earning    victories    in    New    Guinea    campaign    at    Guadalcanal         Milne    Bay    and    Buna-Gona    .                 ,['Guinea']
216,Allied    offensive         edit         A    map    of    Japanese    advance    from       to   Over    next    two    years    Allies    slowly    captured    one    island    base    after    another         trying    to    get    closer    to    Japan    itself         where    it    planned    to    launch    massive    strategic    air    attacks    and         only    if    absolutely    necessary         execute    a    ground    invasion    .    ,"['Allied', 'Japanese', 'two    years', 'Japan']"
217,By    July            the United States    recaptured    Guam    and    captured    Tinian         which    finally    put    them    in    attacking    range    of    mainland    Japan    using    new    Boeing    B-29    bombers    .                 ,"['the United States', 'Guam    ', 'Japan', 'Boeing', 'B-29']"
218,Despite    advances    of    Allies         massive    fighting    was    still    taking    place         both    in    South-East    Asia    with    Japanese    offensive    in    India    and    in    Pacific         with    Battle    of    Philippine    Sea         where    Japan    suffered    major    losses    and    definitively    lost    ability    to    rely    on    aircraft    carriers    .                 ,"['Asia', 'Japanese', 'India', 'Battle    of    Philippine    Sea         where    Japan']"
219,In    later    October         a    combined    attack    of    the United Statesn    and    Australian    forces    took    on    Imperial    Japanese    Navy    during    Battle    of    Leyte    Gulf    in    what    was    to    be    largest    naval    battle    of    World    War    II    and    possibly    largest    naval    battle    of    all    time    .                 ,"['Australian', 'Battle    of    Leyte    Gulf    in    ']"
220,Allied    victory    achieved    its    stated    goal    of    further    severing    oil    supplied    to    Japanese    army         which    was    already    struggling    to    fuel    remainder    of    its    naval    power    .                 battle    of    Leyte    Gulf    is    also    notable    as    first    battle    in    which    Japanese    aircraft    carried    out    organized    kamikaze    attacks    .                 ,"['Japanese', 'Leyte    Gulf    ', 'Japanese']"
221,By    early            the United Statesns    set    their    eyes    on    Japanese    island    of    Iwo    Jima         which    was    of    great    strategic    importance         being    situated    halfway    between    Tokyo    and    Mariana    Islands    .    ,"['Japanese', 'Tokyo', 'Mariana']"
222,Capturing    island    meant    not    only    a    better    launch    station    for    aerial    attacks    against    mainland    Japan         but    also    prevention    of    its    use    as    an    early-warning    station    against    air    raids    .    ,['Japan         ']
223,Japanese    were    expecting    an    attack    and    have    been    heavily    fortifying    entire    island    for    over    a    year    .                 ,['Japanese']
224,Despite    the United Statesn    troops    outnumbering    Japanese    to    a    rate    of    more    than       to            the United StatesA    suffered    heavy    casualties    in       days    of    fighting         with    over       Marines    killed    and    another       wounded                      leading    some    historians    to    question    strategic    worth    of    action    .                 ,['Japanese']
225,With    Japan    struggling    to    defend    homeland    islands         counteroffensives    in    other    parts    of    Japanese    Empire    became    more    feasible         with    important    battles    taking    place    in    Burma         Borneo    and    China.,"['Japan', 'Japanese', 'China']"
226,Continuing    to    come    nearer    main    Japanese    islands         on       April       the United States    Marines    mounted    largest    amphibious    assault    of    Pacific    Theater    on    island    of    Okinawa    .                 ,"['Japanese', 'the United States', 'Okinawa']"
227,After    a    long    campaign    of    island    hopping         Allies    were    planning    to    use    Kadena    Air    Base    on    large    island    of    Okinawa    as    a    base    for    Operation    Downfall         planned    invasion    of    Japanese    home    islands    which    were    only       miles    away    .                 ,"['Okinawa', 'Japanese']"
228,battle    was    one    of    bloodiest    in    Pacific         with    approximately       casualties    on    both    sides    :    at    least       Allied    and   –117    Japanese    .    ,"['117', 'Japanese']"
229,"Around    half    of    island   "" s""   population    of       were    killed         committed    suicide    or    went    missing    .                 ",[]
230,"Enola    Gay   "" s""   ground    crew    with    mission    commander    Paul    Tibbets    in    center.",['Paul    Tibbets    in    ']
231,Final    days         edit         assaults    on    both    Iwo    Jima    and    Okinawa    proved    incredibly    costly    in    terms    of    the United Statesn    lives    and    president    Truman    was    horrified    at    prospect    of    Operation    Downfall         a    planned    boots-on-the-ground    invasion    of    mainland    Japan    that    was    estimated    to    lead    to    over    a    million    casualties    among    the United Statesn    soldiers    .                 ,"['Okinawa', 'Truman', 'Japan']"
232,Despite    a    devastating    campaign    of    fire-bombing    in    Tokyo    and    dozens    of    other    cities         Japanese    showed    no    sign    of    planning    to    surrender    .    ,"['Tokyo', 'Japanese']"
233,"Following    Potsdam    Declaration    of    July            where    Allies    threatened    ``    prompt    and    utter    destruction   ""  ""   should    Japan    not    surrender                      decision    was    made    to    resort    to    first    use    of    atomic    bombs    .    ",['Japan']
234,On       August        d    Bombardment    Squadron    B-29    Enola    Gay         took    off    from    Tinian    and    dropped    bomb    on    city    of    Hiroshima    .    ,"['August', 'B-29    Enola    Gay         ', 'Hiroshima']"
235,Three    days    later         a    second    bomb    was    dropped    on    Nagasaki    .    ,"['Three    days    later', 'second', 'Nagasaki']"
236,two    bombings    killed   –226    people         most    of    them    civilians    .                 ,"['two', '226']"
237,On       August         Soviet    Union    also    invaded    Manchukuo    in    what    was    to    be    last    campaign    of    war    .                 ,"['August', 'Manchukuo']"
238,"On       August    ``    sacred    decision   ""  ""   was    made    by    Japanese    Cabinet    to    accept    Potsdam    terms    and    on       August    Emperor    Hirohito    broadcast    to    nation    and    to    world    at    large    rescript    of    surrender         ending    Second    World    War    .                 ","['August', 'Japanese', 'August', 'Hirohito']"
239,formal    Japanese    Instrument    of    Surrender    was    signed    on       September            on    battleship    the United StatesS    Missouri         in    Tokyo    Bay    .    ,"['Missouri         ', 'Tokyo', 'Bay    ']"
240,surrender    was    accepted    by    General    Douglas    MacArthur    as    Supreme    Commander    of    Allied    Powers    .                 ,['Douglas    MacArthur']
241,"Holocaust         edit         Main    article    :    HolocaustThe    Holocaust         which    roughly    means    ``    great    fire   ""  ""        was    deliberate         systematic    murder    of    millions    of    Jews    and    other    minorities    during    World    War    II    by    Hitler   "" s""   Nazi    regime    in    Europe    .    ","['Jews', 'World    War    II', 'Hitler', 'Nazi', 'Europe']"
242,"Several    differing    views    exist    regarding    whether    it    was    intended    to    occur    from    war   "" s""   beginning         or    if    plans    for    it    came    about    later    .                              ",[]
243,"Regardless         persecution    of    Jews    extended    well    before    war    even    started         such    as    in    Kristallnacht         literally    ``    Crystal    Night   ""  ""        Night    of    Broken    Glass         .                 ","['Jews', 'Crystal    Night', '""        Night    of    Broken    Glass         ']"
244,Nazis    used    propaganda    to    great    effect    to    stir    up    antisemitic    feelings    within    ordinary    Germans    .    ,"['Nazis', 'Germans']"
245,Many    people         including    politicians    and    historians         consider    Holocaust    to    be    worst    event    in    history         and    have    described    Hitler         his    followers         and    his    regime    as    evil.,[]
246,Slave    laborers    at    Buchenwald    concentration    camp.,[]
247,"After    conquest    of    Poland         Third    Reich         which    had    previously    deported    Jews    and    other    ``    undesirables   ""  ""        suddenly    had    within    its    borders    largest    concentration    of    Jews    in    world    .    ","['Jews', 'Jews']"
248,solution    was    to    round    up    Jews    and    place    them    in    Nazi    concentration    camps    or    in    ghettos         cordoned    off    sections    of    cities    where    Jews    were    forced    to    live    in    deplorable    conditions         often    with    tens    of    thousands    starving    to    death         and    bodies    decaying    in    streets    .                              ,"['Jews', 'Nazi', 'Jews']"
249,As    appalling    as    this    sounds         they    were    lucky    ones    .    ,[]
250,After    invasion    of    Soviet    Union         armed    killing    squads    of    SS    men    known    as    Einsatzgruppen    systematically    rounded    up    Jews    and    murdered    an    estimated    one    million    Jews    within    country    .                 ,"['Jews', 'Jews']"
251,As    barbaric    and    inhuman    as    this    seems         it    was    too    slow    and    inefficient    by    Nazi    standards.,['Nazi']
252,In            top    leadership    met    in    Wannsee         a    suburb    of    Berlin         and    began    to    plan    a    more    efficient    way    to    slaughter    Jews    .                 ,['Jews']
253,Nazis    created    a    system    of    extermination    camps    throughout    Poland         and    began    rounding    up    Jews    from    Soviet    Union         and    from    Ghettos    .                              ,"['Nazis', 'Jews']"
254,Not    only    were    Jews    shot    or    gassed    to    death    en    masse         but    they    were    forced    to    provide    slave    labor    and    they    were    used    in    horrific    medical    experiments         see    Human    experimentation    in    Nazi    Germany         .                 ,"['Jews', 'Nazi']"
255,"Out    of    widespread    condemnation    of    Nazis   "" ""   medical    experiments         Nuremberg    Code    of    medical    ethics    was    devised    .                 ",['Nazis']
256,"Nazis    took    a    sadistic    pleasure    in    death    camps    ;    entrance    to    most    notorious    camp         Auschwitz         stated    ``    Arbeit    Macht    Frei   ""  ""   —   ""  ""   Work    Sets    You    Free   ""  ""   .                 ","['Nazis', 'Work    Sets    You    Free']"
257,"In    end         six    million    Jews    and    up    to       million    homosexuals         Jehovah   "" s""   Witnesses         Roma    and    political    prisoners    were    killed    by    various    means         mainly    in    death    camps    .                                           ",['Jews']
258,An    additional    several    million    Soviet    and    other    Allied    prisoners    of    war    died    in    camps    and    holding    areas    .                              ,"['Soviet', 'Allied']"
259,There    is    some    controversy    over    whether    ordinary    Germans    knew    about    Holocaust    .                 ,['Germans']
260,It    appears    that    many    Germans    knew    about    concentration    camps    ;    such    things    were    prominently    displayed    in    magazines    and    newspapers    .                 ,['Germans']
261,In    many    places         Jews    had    to    walk    past    towns    and    villages    on    their    way    to    work    as    slaves    in    German    industry    .    ,"['Jews', 'German']"
262,In    any    case         Allied    soldiers    reported    that    smell    of    camps    carried    for    miles    .                 ,[]
263,A    very    small    number    of    people    deny    Holocaust    occurred    entirely         though    these    claims    have    been    routinely    discredited    by    mainstream    historians    .                 ,[]
264,Nuclear    Age    begins         edit         Main    article    :    History    of    nuclear    weaponsDuring   s         innovations    in    physics    made    it    apparent    that    it    could    be    possible    to    develop    nuclear    weapons    of    incredible    power    using    nuclear    reactions    .                 ,[]
265,When    World    War    II    broke    out         scientists    and    advisors    among    Allies    feared    that    Nazi    Germany    may    have    been    trying    to    develop    its    own    atomic    weapons         and    United    States    and    United    Kingdom    pooled    their    efforts    in    what    became    known    as    Manhattan    Project    to    beat    them    to    it    .    ,"['Nazi', 'Germany', 'Kingdom']"
266,"At    secret    Los    Alamos    laboratory    in    New    Mexico         scientist    Robert    Oppenheimer    led    a    team    of    world   "" s""   top    scientists    to    develop    first    nuclear    weapons         first    of    which    was    tested    at    Trinity    site    in    July       .                 ","['Robert    Oppenheimer    ', 'first']"
267,However         Germany    had    surrendered    in    May            and    it    had    been    discovered    that    German    atomic    bomb    program    had    not    been    very    close    to    success    .                 ,"['Germany', 'German']"
268,"first    nuclear    explosion         named    ``    Trinity   ""  ""        was    detonated    on    July           .The    Allied    team    produced    two    nuclear    weapons    for    use    in    war         one    powered    by    uranium-235    and    other    by    plutonium    as    fissionable    material         named    ``    Little    Boy   ""  ""   and    ``    Fat    Man   ""  ""   .                 ","['first', 'two']"
269,These    were    dropped    on    Japanese    cities    of    Hiroshima    and    Nagasaki    on    August       and               each    .    ,"['Japanese', 'Hiroshima', 'Nagasaki']"
270,This         in    combination    with    Soviet    invasion    of    Japanese-controlled    territory         convinced    Japanese    government    to    surrender    unconditionally    .    ,"['Soviet', 'Japanese', 'Japanese']"
271,These    two    weapons    remain    only    two    nuclear    weapons    ever    used    against    other    countries    in    war    .                 ,['two']
272,Nuclear    weapons    brought    an    entirely    new    and    terrifying    possibility    to    warfare    of    nuclear    annihilation         because    it    was    feared    that    they    would    bring    about    human    extinction    overnight    .    ,[]
273,"While    at    first    United    States    held    a    monopoly    on    production    of    nuclear    weapons         Soviet    Union         with    some    assistance    from    espionage         managed    to    detonate    its    first    weapon         dubbed    ``    Joe-1   ""  ""   by    West         in    August       .                              ",['first']
274,post-war    relations    between    two         which    had    already    been    deteriorating         began    to    rapidly    disintegrate    .    ,[]
275,Soon    two    were    locked    in    a    massive    stockpiling    of    nuclear    weapons    .    ,['two']
276,United    States    began    a    crash    program    to    develop    first    hydrogen    bomb    in            and    detonated    its    first    thermonuclear    weapon    in       .    ,"['first', 'first']"
277,This    new    weapon    was    alone    over       times    as    powerful    as    weapons    used    against    Japan    .    ,['Japan']
278,Soviet    Union    detonated    a    primitive    thermonuclear    weapon    in       and    a    full-fledged    one    in       .                 ,[]
279,Nuclear    missiles    and    computerized    launch    systems    increased    range    and    scope    of    possible    nuclear    war.,[]
280,The    conflict    continued    to    escalate         with    major    superpowers    developing    long-range    missiles         such    as    ICBM         and    a    nuclear    strategy    which    guaranteed    that    any    use    of    nuclear    weapons    would    be    suicide    for    attacking    nation         Mutually    Assured    Destruction         .    ,[]
281,creation    of    early    warning    systems    put    control    of    these    weapons    into    hands    of    newly    created    computers         and    they    served    as    a    tense    backdrop    throughout    Cold    War    .                 ,['Cold    War    ']
282,Since   s    there    were    concerns    about    rising    proliferation    of    nuclear    weapons    to    new    countries         which    was    seen    as    being    destabilizing    to    international    relations         spurring    regional    arms    races         and    generally    increasing    likelihood    of    some    form    of    nuclear    war    .    ,[]
283,Eventually         nine    nations    would    overtly    develop    nuclear    weapons         and    still    maintain    stockpiles    today    :    United    States         Soviet    Union         and    later    Russia    would    inherit    these              United    Kingdom         France         China         India         Pakistan         Israel    and    North    Korea    .                 ,"['Russia', 'Kingdom         France         China         India         Pakistan         ', 'Israel']"
284,South    Africa    developed    six    crude    weapons    in   s         which    it    later    dismantled                           and    Israel    almost    certainly    developed    nuclear    weapons    though    it    never    confirmed    nor    denied    it    .                 ,"['Africa', 'six', 'Israel']"
285,creation    of    Nuclear    Non-proliferation    Treaty    in       was    an    attempt    to    curtail    such    proliferation                      but    a    number    of    countries    developed    nuclear    weapons    since    it    was    signed         and    many    did    not    sign    it              and    several    other    countries         including    Libya    and    Iran    were    suspected    of    having    clandestine    nuclear    weapons    programs    .                              ,"['Libya', 'Iran']"
286,post-war    world         edit         Main    article    :    Post–World    War    II    economic    expansionFollowing    World    War    II         majority    of    industrialized    world    lay    in    ruins    as    a    result    of    aerial    bombings         naval    bombardment         and    protracted    land    campaigns    .    ,[]
287,United    States    was    a    notable    exception    to    this    ;    barring    Pearl    Harbor    and    some    minor    incidents         the United States    had    suffered    no    attacks    upon    its    territory    .                 ,"['Pearl    Harbor    and    ', 'the United States']"
288,"United    States    and    Soviet    Union         which         despite    devastation    of    its    most    populated    areas         rebuilt    quickly         found    themselves    world   "" s""   two    dominant    superpowers    .                 ",['two']
289,Much    of    Western    Europe    was    rebuilt    after    war    with    assistance    from    Marshall    Plan    .    ,['Europe']
290,Germany         chief    instigator    of    war         was    placed    under    joint    military    occupation    by    United    States         Great    the United Kingdom         France         and    Soviet    Union    .    ,"['Germany         ', 'the United Kingdom         France         ']"
291,Berlin         although    in    Soviet-controlled    territory         was    also    divided    among    four    powers    .                 ,['Soviet']
292,Occupation    of    Berlin    would    continue    until       .    ,['Berlin']
293,Japan    was    also    placed    under    the United States    occupation         that    would    last    seven    years         until       .                 ,"['Japan', 'the United States']"
294,Oddly         these    two    Axis    powers         despite    military    occupation         soon    rose    to    become    second         Japan         and    third         West    Germany         most    powerful    economies    in    world    .                 ,"['two', 'Germany         ']"
295,Following    end    of    war         Allies    famously    prosecuted    numerous    German    officials    for    war    crimes    and    other    offenses    in    Nuremberg    Trials    .    ,['German']
296,Although    Adolf    Hitler    had    committed    suicide         many    of    his    cronies         including    Hermann    Göring         were    convicted    .    ,['Adolf    Hitler    ']
297,Less    well-known    trials    of    other    Axis    officials    also    occurred         including    Tokyo    War    Crime    Trial    .                 ,[]
298,failure    of    League    of    Nations    to    prevent    World    War    II    essentially    discredited    organization         and    it    was    dissolved    .                 ,['World    War    II']
299,A    new    attempt    at    world    peace    was    begun    with    founding    of    United    Nations    on    October                    in    San    Francisco    .                 ,[]
300,"Today         nearly    all    countries    are    members         but    despite    its    many    successes         organization   "" s""   success    at    achieving    its    goal    of    world    peace    is    disputed    .    ",[]
301,organization    was    never    given    enough    power    to    overcome    conflicting    interests    and    priorities    of    its    member    nations.,[]
302,The    end    of    empires    :    decolonization         edit         Michael    Somare         first    leader    of    an    independent    Papua    New    Guinea.,['first']
303,Main    articles    :    Decolonization    and    New    ImperialismAlmost    all    of    major    nations    that    were    involved    in    World    War    II    began    shedding    their    overseas    colonies    soon    after    conflict    .    ,[]
304,tactics    employed    by    revolutionaries    ranged    from    non-violent    forms    of    protest    to    armed    rebellions         depending    on    nation    involved    .                              ,[]
305,Immediately    after    war         European    powers    began    a    decades-long    process    of    withdrawing    from    their    possessions    in    Africa    and    Asia.,"['European', 'Africa', 'Asia']"
306,In    India         Mahatma    Gandhi    became    a    global    icon    for    his    non-violent    struggle    to    achieve    Indian    independence    whereas    Mohamed    Ali    Jinnah    advocated    for    independence    of    a    separate    state    for    Muslims    .    ,"['Mahatma', 'Gandhi', 'Indian', 'Mohamed    Ali    Jinnah', 'Muslims']"
307,"This    was    achieved    in       with    end    of    British    rule    in    India    and    Partition    of    territory    into    modern    day    India    and    Pakistan         which    would    later    also    further    divide         leading    to    creation    of    People   "" s""   Republic    of    Bangladesh    in       .                              ","['British', 'India', 'India']"
308,Elsewhere    in    Asia         United    States    granted    independence    to    Philippines         its    major    Pacific    possession    in       .                 ,['Pacific']
309,In    French    Indochina         armed    insurrections    forced    French    out    in    early   s         leading    to    formation    of    Laos         Cambodia    and    Vietnam    .                 ,"['French', 'French', 'Laos         Cambodia    ', 'Vietnam']"
310,In    Africa         nationalists    such    as    Jomo    Kenyatta    of    Kenya    and    Kwame    Nkrumah    of    Ghana    led    their    respective    nations    to    independence    from    foreign    rule    .                 ,"['Africa         ', 'Kenya', 'Ghana']"
311,Mere    decades    before         British    Empire    controlled    almost    half    of    continent         but    by            only    British    possession    in    Africa    was    Seychelles         which    would    also    become    independent    in            .    ,"['British', 'Africa']"
312,Between       and            almost       African    countries    achieved    their    independence    from    France    .                 ,"['Between       and            almost       African', 'France']"
313,Through    efforts    of    Amílcar    Cabral    and    others         Portuguese    colonies    of    Guinea-Bissau         Cape    Verde         Angola         Mozambique    and    São    Tomé    and    Príncipe    followed    suit    and    achieved    independence    during    mid-1970s         in    what    was    to    be    last    important    wave    of    African    decolonization    .                 ,"['Portuguese', 'African']"
314,In            there    were       member    states    in    United    Nations         but    as    newly    independent    nations    joined    organization         by       membership    increased    to       .                 ,[]
315,emergence    of    newly    independent    countries    in    Africa    and    Asia    that    used    borders    of    imperial    partitions    later    led    to    further    conflict    .                 ,"['Africa', 'Asia']"
316,In    many    cases    this    meant    that    historically    antagonistic    ethnic    or    religious    groups    now    needed    to    share    same    country    or    that    several    nations    held    territorial    claims    over    regions    which    were    more    or    less    arbitrarily    divided    by    European    powers    .                              ,['European']
317,Some    conflicts    which    aroused    from    these    tensions         especially    Nigerian    Civil    War         Second    Congo    War         Second    Sudanese    Civil    War    and    Bangladesh    Liberation    War    have    been    among    bloodiest    wars    of   th    century    .                 ,[]
318,Cold    War        –1991              edit         Post-war    territorial    changes    in    Europe    and    formation    of    Eastern    BlocMain    articles    :    Cold    War    and    Mutual    assured    destructionDuring    Yalta    Conference         where    Western         capitalist    powers         and    communist    Soviet    Union    agreed    on    separate    spheres    of    influence    in    Europe         they    set    up    stage    for    a    geopolitical    rivalry    that    would    dominate    international    relations    for    next    five    decades    .                 ,"['Cold    War        ', '1991', 'Europe']"
319,In    March            Winston    Churchill    gave    a    now    famous    speech    while    visiting    Westminster    College    in    the United States    which    is    usually    credited    as    first    use    of    term    iron    curtain    to    refer    to    separation    of    Soviet    and    Western    areas    of    influence    in    Europe    :                 From    Stettin    in    Baltic    to    Trieste    in    Adriatic    an    iron    curtain    has    descended    across    Continent    .    ,"['the United States', 'Soviet', 'Europe', 'Baltic']"
320,Behind    that    line    lie    all    capitals    of    ancient    states    of    Central    and    Eastern    Europe    .    ,['Europe']
321,Warsaw         Berlin         Prague         Vienna         Budapest         Belgrade         Bucharest    and    Sofia    ;    all    these    famous    cities    and    populations    around    them    lie    in    what    I    must    call    Soviet    sphere         and    all    are    subject         in    one    form    or    another         not    only    to    Soviet    influence    but    to    a    very    high    and    in    some    cases    increasing    measure    of    control    from    Moscow.,"['Warsaw         Berlin         Prague         Vienna         Budapest         Belgrade         Bucharest', 'Soviet', 'Soviet', 'Moscow']"
322,Indeed         Soviet    Union    had    already    annexed    several    countries    as    Soviet    Socialist    Republics    during    war    .    ,['Soviet']
323,Eastern    Poland         incorporated    into    Byelorussian    SSR    and    Ukrainian    SSR                           Latvia         which    became    Latvian    SSR              Estonia         which    became    Estonian    SSR              Lithuania         which    became    Lithuanian    SSR                           part    of    eastern    Finland         which    became    Karelo-Finnish    SSR                      and    eastern    Romania         part    of    which    became    Moldavian    SSR                      were    now    wholly    part    of    Soviet    Union    .    ,"['Byelorussian', 'Estonian', 'Lithuanian    SSR', 'Karelo-Finnish', 'Romania         ']"
324,"Furthermore         between       and            Yugoslavia         Albania         Bulgaria         Poland         Romania         Czechoslovakia         Hungary    and    East    Germany    saw    communist    regimes    coming    to    power    and    their    transformation    into    People   "" s""   Republics    .                 ","['Furthermore         between       and            Yugoslavia         Albania         Bulgaria         Poland         Romania         Czechoslovakia         ', 'Hungary', 'Germany']"
325,While    they    remained    independent    countries    and    their    relation    with    Soviet    authorities    would    fluctuate    over    next    half    century         they    were    widely    seen    as    Soviet    satellite    states    .    ,"['Soviet', 'Soviet']"
326,Outside    of    Europe         countries    that    would    see    rise    of    communism    and    would    ally    themselves    to    communist    bloc    include    Mongolia         China         North    Korea         Cuba    and    Vietnam    .                 ,"['Europe', 'Cuba', 'Vietnam']"
327,spread    of    communist    ideology    in    general    and    Soviet    influence    in    particular    made    Western    leaders    nervous    and    it    even    lead    to    Churchill    considering    a    preemptive    attack    on    the Soviet Union    even    before    World    War    II    was    formally    ended    .                 ,"['Soviet', 'the Soviet Union', 'World    War    II']"
328,two    rival    blocks    also    coalesced    into    formal    mutual    defense    organizations         with    formation    of    North    Atlantic    Treaty    Organization         NATO         in                    and    Warsaw    Pact    in                         each    determine    to    expand    its    own    influence    among    unaligned    countries    and    limit    influence    of    their    rivals.,['two']
329,War    by    proxy         edit         Main    articles    :    Korean    War         Vietnam    War         and    Cuban    Missile    CrisisTwo    wars    and    a    near-war    in   s    became    focus    for    capitalist    versus    communist    struggle    .    ,"['War         and    ', 'Cuban']"
